# bpm	bsc	adv	ext	title	artist
45.0	5.0	7.0	9.8	Pee-wee Boogie	ARM
50.0	3.0	8.0	9.9	Fox4-Raize-	Getty vs. DJ DiA
61.0	5.0	8.0	9.7	嘆きの樹 (BEMANI SYMPHONY Arr.)	金獅子 × Nagiha & Osamu Kubota + gaQdan
69.0	2.0	3.0	5.0	風になりたい	THE BOOM
69.0	3.0	7.0	8.0	カーニバる？	ナオト・インティライミ
70.0	3.0	5.0	9.1	飽和世界	猫叉Master
70.0	4.0	7.0	10.5	Puberty Dysthymia	BEMANI Sound Team "person09"
72.0	2.0	6.0	9.6	華麗なる！音戯探偵ひなビタ♫	音戯探偵ひなビタ♫
80.0	2.0	5.0	7.0	遠く遠く離れていても…	日向美ビタースイーツ♪
80.0	3.0	6.0	9.7	ハンガリー舞曲 第5番 (jubeat version)	H.D.5 Orchestra
82.0	3.0	4.0	6.0	粉雪	レミオロメン
83.0	4.0	9.2	10.3	Slluuddggee	Hommarju
84.0	1.0	4.0	5.0	LANA - ココロノキオク -	TOMOSUKE×Jazzin'park
84.0	2.0	5.0	7.0	LANA - キロクノカケラ - [ 2 ]	TOMOSUKE×Jazzin'park
84.0	3.0	6.0	7.0	LANA - キロクノカケラ -	TOMOSUKE×Jazzin'park
85.0	2.0	5.0	7.0	花のやくそく	日向美ビタースイーツ♪
85.0	3.0	5.0	9.1	妖隠し -あやかしかくし-	DJ TOTTO feat.3L
86.0	4.0	6.0	9.6	nostos	Setaria Virtuoso
87.0	1.0	3.0	5.0	フレーフレーわたし	足立佳奈
87.0	2.0	5.0	8.0	高嶺の花子さん	back number
88.0	3.0	7.0	9.0	ミラクル・スイート・スイーツ・マジック！！	日向美ビタースイーツ♪
90.0	1.0	3.0	6.0	Initial song	40mP
90.0	3.0	5.0	7.0	A Perfect Sky	BONNIE PINK
90.0	3.0	8.0	9.6	STULTI	MAX MAXIMIZER VS DJ TOTTO
90.0	6.0	10.3	10.6	Couleur=Blanche	#FFFFFF
90.0	7.0	9.2	10.6	JOMANDA	DJ YOSHITAKA
92.0	1.0	3.0	8.0	Pretender	Official髭男dism
92.0	1.0	5.0	6.0	とってもとっても、ありがとう。	日向美ビタースイーツ♪
92.0	2.0	5.0	7.0	空言の海 ～咲子 edition～	日向美ビタースイーツ♪
92.0	5.0	8.0	10.1	Everlasting Message (BEMANI SYMPHONY Arr.)	ぺのれり × Osamu Kubota + gaQdan
93.0	5.0	8.0	10.6	POLICY BREAK Medley from SOUND VOLTEX×jubeat	United Composers from jubeat
94.0	1.0	4.0	6.0	クラゲファンタジーソーダ	日向美ビタースイーツ♪
94.0	2.0	5.0	6.0	キセキ	GReeeeN
94.0	2.0	5.0	7.0	キセキ [ 2 ]	GReeeeN
95.0	2.0	4.0	8.0	砂の惑星 feat.初音ミク	ハチ
95.0	4.0	7.0	10.2	Sahara	Hommarju
96.0	1.0	4.0	6.0	打上花火	DAOKO×米津玄師
96.0	2.0	5.0	7.0	Lovin' Life	FUNKY MONKEY BABYS
96.0	2.0	5.0	8.0	Endless Chain～2人でトリガーをひこう～	私立BEMANI学園軽音楽部
96.0	2.0	7.0	8.0	大藝術家 -The Great Artist-	蔡依林 -Jolin Tsai-
96.0	2.0	7.0	9.0	椀・of・Relaxation	A応P
98.0	1.0	4.0	6.0	素直になれたら	JUJU
98.0	2.0	4.0	8.0	あおばの足音	駄菓子O型
100.0	2.0	7.0	8.0	Lost Boy	SEAMO
100.0	3.0	6.0	9.3	IGNITE THE IRON HEART	BEMANI Sound Team "L.E.D."
100.0	4.0	7.0	9.3	starmine (BEMANI SYMPHONY Arr.)	Ryu☆ × デビン木下 + gaQdan
100.0	4.0	7.0	9.4	たたえよ！絶対覇権アリーシャ帝国	Blanc Bunny Bandit
100.0	5.0	8.0	10.7	ピアノ独奏無言歌 "灰燼"	BEMANI Sound Team "Virkato Wakhmaninov"
102.0	2.0	3.0	5.0	こんなに近くで…	Crystal Kay
102.0	2.0	7.0	8.0	廻る季節のゆく先に	中島由貴
103.0	1.0	5.0	8.0	Sunshine Girl	moumoon
103.0	2.0	5.0	8.0	愛する覚悟	シシド・カフカ
104.0	2.0	6.0	9.2	さよなら世界 (BEMANI SYMPHONY Arr.)	猫叉Master Arranged by ござ
105.0	1.0	6.0	8.0	ETERNAL BLAZE	水樹奈々
105.0	2.0	4.0	6.0	I'M IN THE MOOD FOR DANCING	Nolans
105.0	2.0	5.0	8.0	変わりゆく時間とノスタルジアと	あずときだしゅんすけ
105.0	3.0	6.0	8.0	ANTI-HERO	SEKAI NO OWARI
105.0	3.0	8.0	9.7	アイネクライネ	→Pia-no-jaC←
105.0	5.0	8.0	9.7	Passion	KAN TAKAHIKO
106.0	1.0	5.0	7.0	マリーゴールド	あいみょん
106.0	2.0	6.0	8.0	Flying Soda	猫叉Master feat.林ももこ
106.0	3.0	6.0	9.3	ディアブロ	水曜日のカンパネラ
106.0	4.0	7.0	9.7	追憶のアラウカリア	Cororo
107.0	2.0	5.0	8.0	人生は素晴らしい物語。(Dear Japan Remix)	ハジ→
107.0	3.0	7.0	9.8	Crosswind	Mutsuhiko Izumi
108.0	2.0	4.0	7.0	一色	NANA starring MIKA NAKASHIMA
108.0	2.0	6.0	8.0	じもとっこスイーツ♪	ホララ・ホリック with 日向美ビタースイーツ♪
108.0	2.0	7.0	8.0	GyaShan	Lollipop
109.0	2.0	5.0	6.0	YELL ～エール～	コブクロ
109.0	4.0	6.0	8.0	Summer Holiday	達見 恵 featured by 佐野宏晃
110.0	1.0	3.0	4.0	Good bye little girl	Mi
110.0	1.0	6.0	8.0	アンビリーバボー feat.TAKUYA	mihimaru GT
110.0	2.0	5.0	8.0	空の飛び方	日向美ビタースイーツ♪
110.0	3.0	5.0	6.0	とびっきりのふわっふわ	日向美ビタースイーツ♪
110.0	3.0	5.0	7.0	sweet sweet everytime sweet	海老名菜々（CV:影山灯）
110.0	3.0	6.0	8.0	Silent Scream	Akira Yamaoka, Mary Elizabeth McGlynn
110.0	3.0	7.0	9.3	妄想感傷代償連盟	DECO*27
110.0	3.0	8.0	9.0	纒	ET-KING
111.0	1.0	5.0	7.0	ちっぽけな勇気	FUNKY MONKEY BABYS
111.0	3.0	6.0	8.0	サヨナラ・ヘヴン	猫叉Master
111.0	3.0	7.0	9.3	サヨナラ・ヘヴン (BEMANI SYMPHONY Arr.)	猫叉Master × Morrigan feat.Lily + gaQdan
111.0	3.0	8.0	10.4	サヨナラ・ヘヴン [ 2 ]	猫叉Master
112.0	2.0	8.0	9.0	INFORMER	lecca
112.0	3.0	5.0	9.0	LUCKY-YO!!	だいやぁ☆もんど
112.0	3.0	7.0	8.0	HALLUCINATION	UZUMAKI
112.0	4.0	7.0	9.7	Evans ～NOSTALGIA Ver. ～	DJ YOSHITAKA Arranged by まらしぃ
113.0	1.0	4.0	7.0	倉野川音頭	日向美ビタースイーツ♪＆ひなちくん
113.0	2.0	5.0	8.0	From⑨Girl	uno (IOSYS) × 越田Rute隆人&あき (A-One)
113.0	2.0	6.0	8.0	がんばれゴエモン　～ ビーストメドレー ～	96
114.0	1.0	5.0	8.0	スミスえかきうた	jubeat staff
115.0	2.0	6.0	9.0	Catch Me	DJ Yoshitaka feat. Eri
115.0	3.0	7.0	9.0	FIGHTERS	三代目 J Soul Brothers
115.0	3.0	7.0	10.2	December in Strasbourg	nana(Sevencolors) feat. Mana
115.0	3.0	8.0	9.8	新蛇姫	BEMANI Sound Team "U1-ASAMi"
116.0	2.0	6.0	8.0	変じゃない!!	good-cool ft. すわひでお
116.0	3.0	6.0	8.0	Pink Rose	Kiyommy＋Seiya
116.0	3.0	6.0	9.0	Pink Rose [ 2 ]	Kiyommy＋Seiya
117.0	2.0	6.0	8.0	Alba	須田景凪
118.0	1.0	4.0	7.0	おにぎりディスコ	Blanc Bunny Bandit
118.0	3.0	5.0	8.0	Real Clothes<Album Mix>	Jazztronik
118.0	3.0	6.0	8.0	温故知新でいこっ！	日向美ビタースイーツ♪
119.0	3.0	6.0	9.5	幸せのかたち	あさき
120.0	2.0	5.0	7.0	Control	kary ng
120.0	2.0	5.0	8.0	CHEAT DANCER - short ver -	X.I.P.
120.0	2.0	6.0	8.0	Whatever	SOULHEAD
120.0	3.0	6.0	7.0	Share The World	東方神起
120.0	3.0	6.0	8.0	夏にキスしていいですか？	アルスマグナ
120.0	3.0	7.0	8.0	ウィリアム・テル序曲	W.T. Orchestra
120.0	3.0	7.0	9.8	Stella Sinistra	Akhuta Philharmonic Orchestra
120.0	3.0	7.0	10.2	恋歌疾風！かるたクイーンいろは	ねこまんまチーム！
120.0	3.0	8.0	9.7	Baroque Hoedown	Perrey&Kingsley
120.0	4.0	5.0	8.0	Parachute	トクマルシューゴ
120.0	5.0	8.0	10.4	Dragon Blade	Kozo Nakamura
121.0	2.0	7.0	8.0	MR.アンディ	UNISON SQUARE GARDEN
121.0	3.0	5.0	7.0	翡翠の狼	米津玄師
121.0	3.0	7.0	8.0	Love Train	Marin&Riena
121.0	3.0	7.0	9.1	Shadow and Truth	ONE III NOTES
121.0	4.0	6.0	8.0	LOSER	米津玄師
122.0	2.0	4.0	6.0	BLUE BIRD	浜崎あゆみ
122.0	2.0	5.0	6.0	明日ハレルヤ！	岡本真夜×大橋卓弥(fromスキマスイッチ)
122.0	2.0	5.0	7.0	完全無欠の無重力ダイブ	日向美ビタースイーツ♪
122.0	5.0	8.0	9.6	Mirage of the Mirror	SHAMDEL
