# music_id	title	artist
# 示例：11000001	Insanity	Luna
# 可在此补充本地曲库缺失的曲名/曲师，程序会优先使用本表
# --- L44-2025020500 to 2026072200 新增曲 (Beyond Ave, version=8000) ---
11000178	ギャ・ギャ・ギャ・ギャラクシー！	つきみぐー、
11000179	悲報！ワイ！ニート！	Shu
11000181	覚悟せよ！エンタンメ～ン ～より身の切り売り自暴自棄版～	マキシウキョウ
11000204	華麗なる！音戯探偵ひなビタ♫	音戯探偵ひなビタ♫
11000229	断罪のミメシス	KE!JU
11000230	Smintheus	TAN1CHU
11000231	Any%	めめめ
11000232	不沈艦CANDY	Risk Junk
11000234	Seta Para Cima↑↑	BEMANI Sound Team "U1 overground"
11000238	B.B.K.K.B.K.K.	nora2r
11000239	ケロ⑨destiny	Silver Forest
11000240	我ら!ゴミ分別団	かてらざわ
11000241	はちゃめちゃわちゃライフ!	FRUITS ZIPPER
11000242	極東の羊、テレキャスターと踊る	しゃろう
